,wait,cx_prob,mut_prob,pop_size,acc
0,50,0.5,0.5,50,0.7901364113326338
1,25,0.9,0.25,100,0.7817418677859391
2,10,0.5,0.25,100,0.8090241343126967
3,50,0.9,0.1,10,0.8279118572927597
4,25,0.5,0.25,100,0.8142707240293809
5,5,0.9,0.5,250,0.7806925498426023
6,5,0.25,0.1,50,0.7754459601259182
7,5,0.5,0.25,250,0.7628541448058762
8,25,0.1,0.5,50,0.8436516264428122
9,25,0.1,0.5,50,0.8058761804826863
10,5,0.9,0.5,250,0.8027282266526757
11,50,0.25,0.9,50,0.857292759706191
12,5,0.25,0.5,250,0.7995802728226653
13,5,0.9,0.25,100,0.869884575026233
14,5,0.1,0.1,250,0.8016789087093389
