,K,L,R,_lambda,n_iterations,acc
0,0.05,0.125,3,1.0,10000,0.8593913955928646
1,0.05,0.125,1,0.1,10000,0.8415529905561385
2,0.15,0.125,1,0.01,2000,0.8457502623294858
3,0.3,0.125,1,0.01,5000,0.9097586568730325
4,0.05,0.075,3,1.0,10000,0.8184679958027282
5,0.05,0.025,2,1.0,2000,0.6169989506820567
6,0.05,0.2,3,1.0,10000,0.8667366211962224
7,0.15,0.025,3,1.0,2000,0.7082896117523609
8,0.3,0.025,2,1.0,5000,0.8174186778593914
9,0.3,0.2,2,0.1,5000,0.9097586568730325
10,0.15,0.2,3,0.1,5000,0.863588667366212
11,0.3,0.125,1,0.1,5000,0.9108079748163693
12,0.3,0.075,1,0.1,10000,0.8342077649527807
13,0.05,0.075,3,0.1,10000,0.8205666316894019
14,0.05,0.025,1,0.01,2000,0.6169989506820567
